Work_Order,VIN,Model,Production_Date,Planned_Qty,Actual_Qty,Status,Priority,Plant,Supervisor_ID
WO10535,MA1AB100000000535,SUV Pro,2026-05-25,134,126,Completed,High,Plant-A,SUPV019
WO10536,MA1AB100000000536,Hatch Z,2026-05-26,159,165,Completed,Low,Plant-B,SUPV025
WO10537,MA1AB100000000537,EV Prime,2026-05-27,162,166,Delayed,Medium,Plant-C,SUPV009
WO10538,MA1AB100000000538,SUV Pro,2026-05-28,195,185,In Progress,Low,Plant-B,SUPV020
WO10539,MA1AB100000000539,SUV Pro,2026-05-29,178,167,Completed,High,Plant-C,SUPV006
WO10540,MA1AB100000000540,Sedan X,2026-03-01,81,83,Planned,Medium,Plant-B,SUPV011
WO10541,MA1AB100000000541,EV Prime,2026-03-02,148,137,Planned,Medium,Plant-B,SUPV013
WO10542,MA1AB100000000542,Sedan X,2026-03-03,179,188,Delayed,Medium,Plant-B,SUPV002
WO10543,MA1AB100000000543,Sedan X,2026-03-04,107,101,Delayed,Low,Plant-A,SUPV022
WO10544,MA1AB100000000544,Sedan X,2026-03-05,149,141,Planned,High,Plant-C,SUPV010
WO10545,MA1AB100000000545,EV Prime,2026-03-06,196,203,In Progress,High,Plant-A,SUPV015
WO10546,MA1AB100000000546,SUV Pro,2026-03-07,127,134,Delayed,High,Plant-C,SUPV001
WO10547,MA1AB100000000547,Hatch Z,2026-03-08,98,101,In Progress,High,Plant-B,SUPV005
WO10548,MA1AB100000000548,EV Prime,2026-03-09,122,130,Planned,Low,Plant-A,SUPV020
WO10549,MA1AB100000000549,EV Prime,2026-03-10,104,107,In Progress,High,Plant-B,SUPV015
WO10550,MA1AB100000000550,SUV Pro,2026-03-11,55,56,Delayed,High,Plant-B,SUPV015
WO10551,MA1AB100000000551,SUV Pro,2026-03-12,112,102,Delayed,Medium,Plant-C,SUPV005
WO10552,MA1AB100000000552,EV Prime,2026-03-13,93,101,In Progress,High,Plant-B,SUPV008
WO10553,MA1AB100000000553,SUV Pro,2026-03-14,131,139,Completed,Medium,Plant-A,SUPV024
WO10554,MA1AB100000000554,EV Prime,2026-03-15,113,112,In Progress,High,Plant-A,SUPV013
WO10555,MA1AB100000000555,EV Prime,2026-03-16,153,152,In Progress,Medium,Plant-A,SUPV017
WO10556,MA1AB100000000556,EV Prime,2026-03-17,147,153,Completed,Medium,Plant-A,SUPV005
WO10557,MA1AB100000000557,SUV Pro,2026-03-18,190,181,In Progress,High,Plant-B,SUPV004
WO10558,MA1AB100000000558,Hatch Z,2026-03-19,100,100,Planned,Medium,Plant-A,SUPV004
WO10559,MA1AB100000000559,SUV Pro,2026-03-20,154,162,Completed,Medium,Plant-B,SUPV013
WO10560,MA1AB100000000560,EV Prime,2026-03-21,198,199,In Progress,Low,Plant-B,SUPV004
WO10561,MA1AB100000000561,SUV Pro,2026-03-22,190,182,Delayed,Medium,Plant-A,SUPV021
WO10562,MA1AB100000000562,Hatch Z,2026-03-23,114,109,Delayed,Low,Plant-B,SUPV008
WO10563,MA1AB100000000563,Sedan X,2026-03-24,67,57,Planned,Medium,Plant-A,SUPV024
WO10564,MA1AB100000000564,SUV Pro,2026-03-25,123,132,Delayed,Low,Plant-A,SUPV019
WO10565,MA1AB100000000565,Hatch Z,2026-03-26,191,187,Completed,High,Plant-B,SUPV021
WO10566,MA1AB100000000566,Sedan X,2026-03-27,138,148,Delayed,Medium,Plant-B,SUPV012
WO10567,MA1AB100000000567,SUV Pro,2026-03-28,136,131,Completed,Low,Plant-A,SUPV017
WO10568,MA1AB100000000568,EV Prime,2026-03-29,196,197,Completed,Medium,Plant-A,SUPV011
WO10569,MA1AB100000000569,Sedan X,2026-03-30,91,79,In Progress,Medium,Plant-B,SUPV003
WO10570,MA1AB100000000570,Sedan X,2026-03-31,65,63,Completed,Low,Plant-A,SUPV006
WO10571,MA1AB100000000571,Sedan X,2026-04-01,170,180,Delayed,High,Plant-B,SUPV018
WO10572,MA1AB100000000572,EV Prime,2026-04-02,117,126,Planned,Low,Plant-A,SUPV017
WO10573,MA1AB100000000573,Hatch Z,2026-04-03,95,87,In Progress,High,Plant-C,SUPV022
WO10574,MA1AB100000000574,SUV Pro,2026-04-04,181,175,Completed,Low,Plant-C,SUPV021
WO10575,MA1AB100000000575,SUV Pro,2026-04-05,199,202,Delayed,High,Plant-A,SUPV005
WO10576,MA1AB100000000576,Hatch Z,2026-04-06,162,151,Planned,Medium,Plant-A,SUPV024
WO10577,MA1AB100000000577,EV Prime,2026-04-07,170,177,Completed,Low,Plant-A,SUPV012
WO10578,MA1AB100000000578,SUV Pro,2026-04-08,134,132,Completed,High,Plant-C,SUPV013
WO10579,MA1AB100000000579,EV Prime,2026-04-09,110,103,Delayed,High,Plant-C,SUPV018
WO10580,MA1AB100000000580,EV Prime,2026-04-10,94,84,Delayed,Medium,Plant-A,SUPV006
WO10581,MA1AB100000000581,SUV Pro,2026-04-11,162,157,Planned,Low,Plant-B,SUPV001
WO10582,MA1AB100000000582,SUV Pro,2026-04-12,135,127,Planned,Medium,Plant-B,SUPV008
WO10583,MA1AB100000000583,SUV Pro,2026-04-13,54,45,In Progress,Low,Plant-C,SUPV002
WO10584,MA1AB100000000584,Sedan X,2026-04-14,65,65,Completed,Medium,Plant-A,SUPV019
WO10585,MA1AB100000000585,Sedan X,2026-04-15,81,87,In Progress,High,Plant-B,SUPV005
WO10586,MA1AB100000000586,EV Prime,2026-04-16,123,120,Completed,Medium,Plant-C,SUPV005
WO10587,MA1AB100000000587,Hatch Z,2026-04-17,183,190,Planned,Low,Plant-B,SUPV022
WO10588,MA1AB100000000588,Hatch Z,2026-04-18,55,62,Delayed,Medium,Plant-C,SUPV011
WO10589,MA1AB100000000589,Hatch Z,2026-04-19,167,158,In Progress,Medium,Plant-C,SUPV005
WO10590,MA1AB100000000590,EV Prime,2026-04-20,159,163,Delayed,Low,Plant-B,SUPV002
WO10591,MA1AB100000000591,Hatch Z,2026-04-21,75,60,Planned,Medium,Plant-C,SUPV022
WO10592,MA1AB100000000592,EV Prime,2026-04-22,101,89,Delayed,Low,Plant-C,SUPV006
WO10593,MA1AB100000000593,Hatch Z,2026-04-23,142,133,Completed,High,Plant-A,SUPV001
WO10594,MA1AB100000000594,EV Prime,2026-04-24,115,113,Planned,High,Plant-C,SUPV010
WO10595,MA1AB100000000595,Hatch Z,2026-04-25,54,39,Planned,High,Plant-A,SUPV018
WO10596,MA1AB100000000596,Hatch Z,2026-04-26,126,121,In Progress,Low,Plant-B,SUPV002
WO10597,MA1AB100000000597,Sedan X,2026-04-27,104,102,Completed,Medium,Plant-A,SUPV006
WO10598,MA1AB100000000598,SUV Pro,2026-04-28,187,180,In Progress,Low,Plant-B,SUPV007
WO10599,MA1AB100000000599,Sedan X,2026-04-29,168,163,Completed,Low,Plant-C,SUPV002
WO10600,MA1AB100000000600,SUV Pro,2026-04-30,199,204,Completed,Low,Plant-A,SUPV019
WO10601,MA1AB100000000601,Hatch Z,2026-05-01,105,105,Completed,Medium,Plant-A,SUPV002
WO10602,MA1AB100000000602,SUV Pro,2026-05-02,96,99,In Progress,High,Plant-C,SUPV014
WO10603,MA1AB100000000603,Hatch Z,2026-05-03,83,81,Completed,Medium,Plant-C,SUPV003
WO10604,MA1AB100000000604,Hatch Z,2026-05-04,114,116,Completed,High,Plant-A,SUPV013
WO10605,MA1AB100000000605,SUV Pro,2026-05-05,179,166,In Progress,Medium,Plant-C,SUPV010
WO10606,MA1AB100000000606,Hatch Z,2026-05-06,98,93,Completed,Low,Plant-B,SUPV013
WO10607,MA1AB100000000607,EV Prime,2026-05-07,132,138,Completed,Medium,Plant-A,SUPV001
WO10608,MA1AB100000000608,EV Prime,2026-05-08,131,136,Completed,Low,Plant-A,SUPV021
WO10609,MA1AB100000000609,Sedan X,2026-05-09,144,140,Delayed,Low,Plant-C,SUPV011
WO10610,MA1AB100000000610,Sedan X,2026-05-10,167,162,Completed,Low,Plant-C,SUPV007
WO10611,MA1AB100000000611,Sedan X,2026-05-11,116,124,Planned,High,Plant-C,SUPV008
WO10612,MA1AB100000000612,SUV Pro,2026-05-12,110,107,Planned,Low,Plant-C,SUPV007
WO10613,MA1AB100000000613,Sedan X,2026-05-13,188,178,Planned,Medium,Plant-C,SUPV007
WO10614,MA1AB100000000614,SUV Pro,2026-05-14,56,63,In Progress,Medium,Plant-A,SUPV025
WO10615,MA1AB100000000615,EV Prime,2026-05-15,98,98,In Progress,Low,Plant-C,SUPV013
WO10616,MA1AB100000000616,SUV Pro,2026-05-16,51,60,In Progress,High,Plant-B,SUPV016
WO10617,MA1AB100000000617,Sedan X,2026-05-17,129,121,Delayed,Medium,Plant-A,SUPV006
WO10618,MA1AB100000000618,SUV Pro,2026-05-18,118,114,Delayed,Medium,Plant-A,SUPV019
WO10619,MA1AB100000000619,EV Prime,2026-05-19,103,109,Planned,Medium,Plant-B,SUPV023
WO10620,MA1AB100000000620,EV Prime,2026-05-20,59,63,Delayed,High,Plant-C,SUPV016
WO10621,MA1AB100000000621,EV Prime,2026-05-21,87,97,In Progress,Low,Plant-B,SUPV010
WO10622,MA1AB100000000622,Sedan X,2026-05-22,129,138,Completed,Low,Plant-C,SUPV005
WO10623,MA1AB100000000623,SUV Pro,2026-05-23,191,184,Planned,Low,Plant-C,SUPV019
WO10624,MA1AB100000000624,Sedan X,2026-05-24,85,89,In Progress,Low,Plant-B,SUPV024
WO10625,MA1AB100000000625,SUV Pro,2026-05-25,192,202,Completed,Low,Plant-C,SUPV017
WO10626,MA1AB100000000626,Sedan X,2026-05-26,189,190,Delayed,Medium,Plant-C,SUPV009
WO10627,MA1AB100000000627,Sedan X,2026-05-27,127,121,In Progress,Medium,Plant-B,SUPV017
WO10628,MA1AB100000000628,EV Prime,2026-05-28,185,177,Planned,High,Plant-C,SUPV001
WO10629,MA1AB100000000629,Hatch Z,2026-05-29,113,110,In Progress,Medium,Plant-A,SUPV019
WO10630,MA1AB100000000630,Hatch Z,2026-03-01,132,133,Delayed,High,Plant-B,SUPV008
WO10631,MA1AB100000000631,Hatch Z,2026-03-02,80,72,Planned,High,Plant-B,SUPV008
WO10632,MA1AB100000000632,EV Prime,2026-03-03,61,50,Completed,High,Plant-A,SUPV025
WO10633,MA1AB100000000633,SUV Pro,2026-03-04,114,114,Planned,Low,Plant-C,SUPV015
WO10634,MA1AB100000000634,EV Prime,2026-03-05,89,82,In Progress,High,Plant-C,SUPV005
WO10635,MA1AB100000000635,Sedan X,2026-03-06,56,46,Completed,High,Plant-C,SUPV013
WO10636,MA1AB100000000636,Sedan X,2026-03-07,137,129,Planned,High,Plant-C,SUPV017
WO10637,MA1AB100000000637,EV Prime,2026-03-08,127,132,Completed,Medium,Plant-C,SUPV012
WO10638,MA1AB100000000638,SUV Pro,2026-03-09,65,52,Delayed,High,Plant-B,SUPV003
WO10639,MA1AB100000000639,Sedan X,2026-03-10,176,166,Delayed,Low,Plant-B,SUPV020
WO10640,MA1AB100000000640,Hatch Z,2026-03-11,116,101,Delayed,Low,Plant-B,SUPV011
WO10641,MA1AB100000000641,Sedan X,2026-03-12,80,89,Completed,Medium,Plant-A,SUPV007
WO10642,MA1AB100000000642,SUV Pro,2026-03-13,97,84,Planned,Medium,Plant-A,SUPV022
WO10643,MA1AB100000000643,SUV Pro,2026-03-14,71,63,Delayed,Low,Plant-B,SUPV021
WO10644,MA1AB100000000644,Hatch Z,2026-03-15,161,147,Completed,Medium,Plant-C,SUPV008
WO10645,MA1AB100000000645,Sedan X,2026-03-16,121,122,Planned,High,Plant-C,SUPV010
WO10646,MA1AB100000000646,Hatch Z,2026-03-17,190,199,Completed,Low,Plant-B,SUPV015
WO10647,MA1AB100000000647,EV Prime,2026-03-18,103,102,Delayed,High,Plant-C,SUPV018
WO10648,MA1AB100000000648,Sedan X,2026-03-19,194,196,Planned,High,Plant-A,SUPV014
WO10649,MA1AB100000000649,Hatch Z,2026-03-20,88,97,In Progress,Low,Plant-C,SUPV008
WO10650,MA1AB100000000650,Hatch Z,2026-03-21,158,149,In Progress,Medium,Plant-C,SUPV014
WO10651,MA1AB100000000651,Hatch Z,2026-03-22,181,170,Delayed,High,Plant-C,SUPV003
WO10652,MA1AB100000000652,Sedan X,2026-03-23,166,167,In Progress,Medium,Plant-A,SUPV012
WO10653,MA1AB100000000653,SUV Pro,2026-03-24,105,112,Completed,High,Plant-C,SUPV024
WO10654,MA1AB100000000654,SUV Pro,2026-03-25,164,162,Planned,High,Plant-B,SUPV020
WO10655,MA1AB100000000655,EV Prime,2026-03-26,158,155,Delayed,Medium,Plant-B,SUPV018
WO10656,MA1AB100000000656,Sedan X,2026-03-27,88,89,In Progress,Low,Plant-B,SUPV014
WO10657,MA1AB100000000657,SUV Pro,2026-03-28,60,47,Delayed,Medium,Plant-A,SUPV015
WO10658,MA1AB100000000658,SUV Pro,2026-03-29,100,106,Completed,Low,Plant-C,SUPV021
WO10659,MA1AB100000000659,Hatch Z,2026-03-30,169,167,Completed,Low,Plant-B,SUPV002
WO10660,MA1AB100000000660,SUV Pro,2026-03-31,74,84,Planned,High,Plant-C,SUPV025
WO10661,MA1AB100000000661,Hatch Z,2026-04-01,134,127,In Progress,Medium,Plant-A,SUPV001
WO10662,MA1AB100000000662,Hatch Z,2026-04-02,174,176,In Progress,Medium,Plant-B,SUPV008
WO10663,MA1AB100000000663,Sedan X,2026-04-03,184,185,In Progress,Medium,Plant-A,SUPV016
WO10664,MA1AB100000000664,Sedan X,2026-04-04,94,104,Planned,Low,Plant-C,SUPV007
WO10665,MA1AB100000000665,Sedan X,2026-04-05,67,73,Delayed,Low,Plant-B,SUPV019
WO10666,MA1AB100000000666,Sedan X,2026-04-06,52,43,Completed,High,Plant-B,SUPV017
WO10667,MA1AB100000000667,EV Prime,2026-04-07,200,197,Completed,Low,Plant-B,SUPV013
WO10668,MA1AB100000000668,Sedan X,2026-04-08,118,122,Planned,High,Plant-B,SUPV004
WO10669,MA1AB100000000669,EV Prime,2026-04-09,141,137,In Progress,Low,Plant-B,SUPV019
WO10670,MA1AB100000000670,EV Prime,2026-04-10,174,173,Delayed,High,Plant-B,SUPV016
WO10671,MA1AB100000000671,Hatch Z,2026-04-11,149,139,Delayed,High,Plant-B,SUPV006
WO10672,MA1AB100000000672,SUV Pro,2026-04-12,197,200,Delayed,Low,Plant-B,SUPV011
WO10673,MA1AB100000000673,SUV Pro,2026-04-13,63,61,Delayed,High,Plant-C,SUPV023
WO10674,MA1AB100000000674,SUV Pro,2026-04-14,81,77,Completed,Low,Plant-C,SUPV007
WO10675,MA1AB100000000675,Hatch Z,2026-04-15,67,70,Completed,High,Plant-C,SUPV018
WO10676,MA1AB100000000676,Sedan X,2026-04-16,124,112,Delayed,High,Plant-B,SUPV018
WO10677,MA1AB100000000677,EV Prime,2026-04-17,55,53,In Progress,Medium,Plant-A,SUPV024
WO10678,MA1AB100000000678,EV Prime,2026-04-18,151,137,In Progress,High,Plant-A,SUPV022
WO10679,MA1AB100000000679,Hatch Z,2026-04-19,143,153,In Progress,Medium,Plant-B,SUPV010
WO10680,MA1AB100000000680,EV Prime,2026-04-20,140,128,Planned,Low,Plant-B,SUPV009
WO10681,MA1AB100000000681,Hatch Z,2026-04-21,69,76,Planned,High,Plant-A,SUPV002
WO10682,MA1AB100000000682,EV Prime,2026-04-22,174,159,Delayed,Medium,Plant-B,SUPV025
WO10683,MA1AB100000000683,SUV Pro,2026-04-23,153,141,In Progress,Low,Plant-A,SUPV004
WO10684,MA1AB100000000684,SUV Pro,2026-04-24,59,50,Completed,Low,Plant-A,SUPV001
WO10685,MA1AB100000000685,EV Prime,2026-04-25,196,195,Completed,High,Plant-A,SUPV007
WO10686,MA1AB100000000686,Sedan X,2026-04-26,153,148,Planned,High,Plant-C,SUPV012
WO10687,MA1AB100000000687,EV Prime,2026-04-27,103,96,Delayed,High,Plant-A,SUPV024
WO10688,MA1AB100000000688,SUV Pro,2026-04-28,102,101,Delayed,Medium,Plant-B,SUPV022
WO10689,MA1AB100000000689,Hatch Z,2026-04-29,159,168,In Progress,High,Plant-C,SUPV020
WO10690,MA1AB100000000690,EV Prime,2026-04-30,52,46,Completed,Medium,Plant-B,SUPV023
WO10691,MA1AB100000000691,Hatch Z,2026-05-01,104,108,Planned,Low,Plant-B,SUPV012
WO10692,MA1AB100000000692,SUV Pro,2026-05-02,115,118,Delayed,Medium,Plant-C,SUPV020
WO10693,MA1AB100000000693,Hatch Z,2026-05-03,168,158,Planned,High,Plant-B,SUPV020
WO10694,MA1AB100000000694,Sedan X,2026-05-04,72,58,Delayed,Low,Plant-B,SUPV010
WO10695,MA1AB100000000695,Sedan X,2026-05-05,97,101,Delayed,High,Plant-B,SUPV013
WO10696,MA1AB100000000696,Sedan X,2026-05-06,64,74,Planned,Low,Plant-A,SUPV019
WO10697,MA1AB100000000697,SUV Pro,2026-05-07,95,82,Planned,Low,Plant-C,SUPV023
WO10698,MA1AB100000000698,Sedan X,2026-05-08,87,81,Delayed,Low,Plant-B,SUPV009
WO10699,MA1AB100000000699,Sedan X,2026-05-09,50,41,Delayed,Low,Plant-C,SUPV023
WO10700,MA1AB100000000700,EV Prime,2026-05-10,82,84,In Progress,High,Plant-A,SUPV014
WO10701,MA1AB100000000701,Sedan X,2026-05-11,127,130,Planned,High,Plant-B,SUPV018
WO10702,MA1AB100000000702,Sedan X,2026-05-12,79,70,Delayed,High,Plant-A,SUPV014
WO10703,MA1AB100000000703,Sedan X,2026-05-13,86,80,Planned,High,Plant-A,SUPV017
WO10704,MA1AB100000000704,Sedan X,2026-05-14,151,144,Delayed,Low,Plant-B,SUPV014
WO10705,MA1AB100000000705,SUV Pro,2026-05-15,111,117,Planned,Low,Plant-A,SUPV013
WO10706,MA1AB100000000706,EV Prime,2026-05-16,144,141,Completed,Low,Plant-A,SUPV021
WO10707,MA1AB100000000707,SUV Pro,2026-05-17,167,168,Completed,Low,Plant-B,SUPV001
WO10708,MA1AB100000000708,SUV Pro,2026-05-18,153,147,Planned,Low,Plant-C,SUPV011
WO10709,MA1AB100000000709,Hatch Z,2026-05-19,153,152,Completed,High,Plant-A,SUPV014
WO10710,MA1AB100000000710,SUV Pro,2026-05-20,62,50,In Progress,Medium,Plant-B,SUPV023
WO10711,MA1AB100000000711,SUV Pro,2026-05-21,174,179,In Progress,High,Plant-B,SUPV021
WO10712,MA1AB100000000712,Sedan X,2026-05-22,191,179,Delayed,High,Plant-A,SUPV008
WO10713,MA1AB100000000713,Sedan X,2026-05-23,123,131,Delayed,High,Plant-B,SUPV004
WO10714,MA1AB100000000714,SUV Pro,2026-05-24,174,170,In Progress,Low,Plant-A,SUPV005
WO10715,MA1AB100000000715,EV Prime,2026-05-25,63,58,Completed,Medium,Plant-A,SUPV021
WO10716,MA1AB100000000716,Hatch Z,2026-05-26,183,187,Completed,High,Plant-A,SUPV001
WO10717,MA1AB100000000717,SUV Pro,2026-05-27,160,165,Planned,Medium,Plant-A,SUPV007
WO10718,MA1AB100000000718,EV Prime,2026-05-28,99,95,Completed,Low,Plant-B,SUPV003
WO10719,MA1AB100000000719,SUV Pro,2026-05-29,164,159,Delayed,Medium,Plant-A,SUPV001
WO10720,MA1AB100000000720,EV Prime,2026-03-01,79,72,In Progress,High,Plant-B,SUPV021
WO10721,MA1AB100000000721,Sedan X,2026-03-02,200,204,Delayed,High,Plant-B,SUPV010
WO10722,MA1AB100000000722,EV Prime,2026-03-03,136,136,Completed,Low,Plant-C,SUPV003
WO10723,MA1AB100000000723,Hatch Z,2026-03-04,137,128,Planned,High,Plant-A,SUPV015
WO10724,MA1AB100000000724,SUV Pro,2026-03-05,184,186,Completed,High,Plant-A,SUPV013
WO10725,MA1AB100000000725,Hatch Z,2026-03-06,169,175,Completed,Medium,Plant-C,SUPV004
WO10726,MA1AB100000000726,SUV Pro,2026-03-07,171,176,Planned,Medium,Plant-C,SUPV006
WO10727,MA1AB100000000727,Hatch Z,2026-03-08,118,108,Delayed,High,Plant-A,SUPV023
WO10728,MA1AB100000000728,Sedan X,2026-03-09,125,118,In Progress,Medium,Plant-C,SUPV017
WO10729,MA1AB100000000729,EV Prime,2026-03-10,75,79,In Progress,Medium,Plant-C,SUPV007
WO10730,MA1AB100000000730,Sedan X,2026-03-11,70,72,Planned,High,Plant-B,SUPV011
WO10731,MA1AB100000000731,Sedan X,2026-03-12,140,143,Delayed,Low,Plant-C,SUPV003
WO10732,MA1AB100000000732,Hatch Z,2026-03-13,192,193,Delayed,Low,Plant-B,SUPV009
WO10733,MA1AB100000000733,SUV Pro,2026-03-14,62,71,Planned,High,Plant-A,SUPV013
WO10734,MA1AB100000000734,SUV Pro,2026-03-15,154,152,In Progress,Medium,Plant-A,SUPV003
WO10735,MA1AB100000000735,EV Prime,2026-03-16,123,108,Completed,Low,Plant-B,SUPV013
WO10736,MA1AB100000000736,Sedan X,2026-03-17,98,102,Completed,Medium,Plant-B,SUPV004
WO10737,MA1AB100000000737,Hatch Z,2026-03-18,51,43,Planned,High,Plant-B,SUPV012
WO10738,MA1AB100000000738,Sedan X,2026-03-19,119,112,In Progress,High,Plant-C,SUPV019
WO10739,MA1AB100000000739,EV Prime,2026-03-20,196,184,Delayed,Medium,Plant-A,SUPV007
WO10740,MA1AB100000000740,SUV Pro,2026-03-21,158,162,Completed,Medium,Plant-A,SUPV019
WO10741,MA1AB100000000741,Sedan X,2026-03-22,97,103,In Progress,High,Plant-C,SUPV007
WO10742,MA1AB100000000742,SUV Pro,2026-03-23,70,76,In Progress,Low,Plant-B,SUPV001
WO10743,MA1AB100000000743,SUV Pro,2026-03-24,174,182,Planned,High,Plant-B,SUPV018
WO10744,MA1AB100000000744,EV Prime,2026-03-25,185,183,Delayed,High,Plant-C,SUPV024
WO10745,MA1AB100000000745,Hatch Z,2026-03-26,173,162,Delayed,Low,Plant-A,SUPV023
WO10746,MA1AB100000000746,SUV Pro,2026-03-27,93,86,Planned,Medium,Plant-C,SUPV024
WO10747,MA1AB100000000747,Sedan X,2026-03-28,127,114,Delayed,High,Plant-B,SUPV009
WO10748,MA1AB100000000748,SUV Pro,2026-03-29,177,175,In Progress,Low,Plant-A,SUPV012
WO10749,MA1AB100000000749,Sedan X,2026-03-30,167,163,In Progress,Medium,Plant-C,SUPV010
WO10750,MA1AB100000000750,SUV Pro,2026-03-31,51,50,In Progress,High,Plant-B,SUPV014
WO10751,MA1AB100000000751,EV Prime,2026-04-01,169,156,Planned,Medium,Plant-C,SUPV005
WO10752,MA1AB100000000752,Sedan X,2026-04-02,54,41,In Progress,Low,Plant-A,SUPV007
WO10753,MA1AB100000000753,Sedan X,2026-04-03,52,47,Completed,Medium,Plant-B,SUPV017
WO10754,MA1AB100000000754,Sedan X,2026-04-04,152,141,Delayed,Low,Plant-A,SUPV009
WO10755,MA1AB100000000755,EV Prime,2026-04-05,138,137,Planned,Medium,Plant-A,SUPV022
WO10756,MA1AB100000000756,Hatch Z,2026-04-06,182,167,Planned,Medium,Plant-A,SUPV020
WO10757,MA1AB100000000757,Sedan X,2026-04-07,170,172,Completed,Low,Plant-B,SUPV022
WO10758,MA1AB100000000758,Sedan X,2026-04-08,74,61,Planned,Medium,Plant-C,SUPV022
WO10759,MA1AB100000000759,SUV Pro,2026-04-09,182,170,Delayed,Medium,Plant-C,SUPV025
WO10760,MA1AB100000000760,SUV Pro,2026-04-10,78,77,Delayed,High,Plant-C,SUPV002
WO10761,MA1AB100000000761,SUV Pro,2026-04-11,199,186,Completed,High,Plant-B,SUPV012
WO10762,MA1AB100000000762,SUV Pro,2026-04-12,103,98,Delayed,Medium,Plant-B,SUPV025
WO10763,MA1AB100000000763,Sedan X,2026-04-13,192,179,Delayed,High,Plant-B,SUPV002
WO10764,MA1AB100000000764,SUV Pro,2026-04-14,112,116,Delayed,Medium,Plant-B,SUPV002
WO10765,MA1AB100000000765,EV Prime,2026-04-15,129,124,Delayed,Low,Plant-B,SUPV008
WO10766,MA1AB100000000766,Hatch Z,2026-04-16,157,142,In Progress,Medium,Plant-B,SUPV001
WO10767,MA1AB100000000767,Sedan X,2026-04-17,165,171,In Progress,Low,Plant-C,SUPV014
WO10768,MA1AB100000000768,EV Prime,2026-04-18,134,140,Planned,Low,Plant-A,SUPV011
WO10769,MA1AB100000000769,Hatch Z,2026-04-19,172,160,In Progress,High,Plant-C,SUPV001
WO10770,MA1AB100000000770,Hatch Z,2026-04-20,196,182,Planned,Medium,Plant-B,SUPV015
WO10771,MA1AB100000000771,EV Prime,2026-04-21,90,84,In Progress,Low,Plant-B,SUPV004
WO10772,MA1AB100000000772,SUV Pro,2026-04-22,85,92,Planned,Medium,Plant-C,SUPV018
WO10773,MA1AB100000000773,Sedan X,2026-04-23,65,58,Planned,Low,Plant-B,SUPV003
WO10774,MA1AB100000000774,SUV Pro,2026-04-24,191,181,Completed,Low,Plant-B,SUPV025
WO10775,MA1AB100000000775,SUV Pro,2026-04-25,85,94,Planned,Medium,Plant-C,SUPV013
WO10776,MA1AB100000000776,Hatch Z,2026-04-26,124,115,In Progress,High,Plant-C,SUPV003
WO10777,MA1AB100000000777,SUV Pro,2026-04-27,168,173,Planned,Low,Plant-B,SUPV009
WO10778,MA1AB100000000778,EV Prime,2026-04-28,84,91,Planned,High,Plant-A,SUPV011
WO10779,MA1AB100000000779,EV Prime,2026-04-29,117,102,Planned,Low,Plant-B,SUPV019
WO10780,MA1AB100000000780,Hatch Z,2026-04-30,121,116,Planned,High,Plant-A,SUPV003
WO10781,MA1AB100000000781,EV Prime,2026-05-01,104,111,Delayed,Low,Plant-C,SUPV004
WO10782,MA1AB100000000782,EV Prime,2026-05-02,199,199,Completed,Low,Plant-B,SUPV013
WO10783,MA1AB100000000783,Sedan X,2026-05-03,120,112,In Progress,High,Plant-C,SUPV008
WO10784,MA1AB100000000784,EV Prime,2026-05-04,89,91,Planned,Low,Plant-A,SUPV021
WO10785,MA1AB100000000785,Sedan X,2026-05-05,154,146,Delayed,Medium,Plant-A,SUPV013
WO10786,MA1AB100000000786,SUV Pro,2026-05-06,145,134,Planned,Low,Plant-C,SUPV009
WO10787,MA1AB100000000787,Sedan X,2026-05-07,108,114,In Progress,High,Plant-B,SUPV015
WO10788,MA1AB100000000788,Hatch Z,2026-05-08,189,179,Completed,Low,Plant-A,SUPV016
WO10789,MA1AB100000000789,Sedan X,2026-05-09,182,191,In Progress,Low,Plant-A,SUPV020
WO10790,MA1AB100000000790,Sedan X,2026-05-10,50,50,Planned,Medium,Plant-B,SUPV010
WO10791,MA1AB100000000791,Sedan X,2026-05-11,189,178,Completed,High,Plant-B,SUPV007
WO10792,MA1AB100000000792,EV Prime,2026-05-12,127,115,In Progress,High,Plant-B,SUPV004
WO10793,MA1AB100000000793,SUV Pro,2026-05-13,169,161,Completed,High,Plant-C,SUPV014
WO10794,MA1AB100000000794,SUV Pro,2026-05-14,67,70,Delayed,Medium,Plant-A,SUPV020
WO10795,MA1AB100000000795,Hatch Z,2026-05-15,83,72,Delayed,Medium,Plant-A,SUPV018
WO10796,MA1AB100000000796,SUV Pro,2026-05-16,103,98,Delayed,High,Plant-B,SUPV017
WO10797,MA1AB100000000797,EV Prime,2026-05-17,99,92,Planned,Medium,Plant-B,SUPV016
WO10798,MA1AB100000000798,SUV Pro,2026-05-18,117,127,Planned,High,Plant-C,SUPV025
WO10799,MA1AB100000000799,SUV Pro,2026-05-19,188,189,Completed,Low,Plant-A,SUPV008
WO10800,MA1AB100000000800,Hatch Z,2026-05-20,135,140,In Progress,Medium,Plant-C,SUPV015
WO10801,MA1AB100000000801,Sedan X,2026-05-21,199,197,Completed,Low,Plant-C,SUPV014
WO10802,MA1AB100000000802,SUV Pro,2026-05-22,80,78,Planned,Medium,Plant-A,SUPV019
