Part_Number,Part_Name,Category,BOM_Version,Effective_Date,Unit_Cost_USD,Supplier_Code,Status,Plant,Effective_From,Effective_To
ENG-1431,Brake Part 432,Engine,V3,2026-01-01,222.84,SUP-182,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1432,Chassis Part 433,Suspension,V3,2026-03-01,64.6,SUP-184,Active,Plant-B,2026-03-01,2026-08-28
ENG-1433,Interior Part 434,Suspension,V3,2026-03-01,47.95,SUP-122,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1434,Interior Part 435,Electrical,V1,2025-12-01,230.24,SUP-049,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1435,Suspension Part 436,Suspension,V1,2025-12-01,316.55,SUP-020,Active,Plant-A,2025-12-01,2026-05-30
ENG-1436,Exterior Part 437,Suspension,V3,2026-01-01,349.72,SUP-066,Active,Plant-C,2026-01-01,2026-06-30
ENG-1437,Suspension Part 438,Exterior,V1,2026-01-01,314.01,SUP-021,Active,Plant-C,2026-01-01,2026-06-30
 eng-1438 ,Exterior Part 439,Interior,V1,2025-12-01,153.01,SUP-114,Active,Plant-B,2025-12-01,2026-05-30
ENG-1439,Engine Part 440,Exterior,V2,2026-03-01,312.13,SUP-032,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1440,Exterior Part 441,Chassis,V1,2026-01-01,28.82,SUP-135,Active,Plant-C,2026-01-01,2026-06-30
ENG-1441,Suspension Part 442,Suspension,v1,2026-01-01,271.49,SUP-140,Active,Plant-C,2026-01-01,2026-06-30
ENG-1442,Transmission Part 443,Brake,V1,2026-01-01,173.06,SUP-114,Active,Plant-A,2026-01-01,2026-06-30
ENG-1443,Brake Part 444,Engine,V3,2025-12-01,134.9,SUP-161,Active,Plant-B,2025-12-01,2026-05-30
ENG-1444,Transmission Part 445,Electrical,V3,2026-01-01,17.54,SUP-126,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1445,Exterior Part 446,Suspension,v1,2025-12-01,69.49,SUP-006,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1446,Suspension Part 447,Suspension,V1,2025-12-01,457.16,SUP-082,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1447,Suspension Part 448,Transmission,V2,2025-12-01,244.95,SUP-079,Active,Plant-B,2025-12-01,2026-05-30
ENG-1448,Suspension Part 449,Interior,V3,2026-01-01,324.37,SUP-144,Active,Plant-A,2026-01-01,2026-06-30
ENG-1449,Chassis Part 450,Engine,V3,2026-03-01,81.35,SUP-035,Active,Plant-C,2026-03-01,2026-08-28
ENG-1450,Transmission Part 451,Chassis,V1,2026-01-01,422.72,SUP-086,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1451,Transmission Part 452,Exterior,V3,2026-01-01,281.96,SUP-081,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1452,Exterior Part 453,Exterior,V1,2025-12-01,25.73,SUP-147,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1453,Electrical Part 454,Chassis,V3,2025-12-01,265.42,SUP-139,Active,Plant-B,2025-12-01,2026-05-30
ENG-1454,Suspension Part 455,Suspension,v1,2026-03-01,147.64,SUP-093,Active,Plant-A,2026-03-01,2026-08-28
ENG-1455,Transmission Part 456,Suspension,V3,2025-12-01,281.93,SUP-088,Active,Plant-B,2025-12-01,2026-05-30
ENG-1456,Suspension Part 457,Suspension,V3,2025-12-01,415.17,SUP-019,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1457,Electrical Part 458,Engine,V2,2026-03-01,377.75,SUP-065,Active,Plant-A,2026-03-01,2026-08-28
ENG-1458,Transmission Part 459,Brake,V3,2026-03-01,485.78,SUP-097,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1459,Engine Part 460,Transmission,V1,2025-12-01,199.91,SUP-087,Active,Plant-B,2025-12-01,2026-05-30
ENG-1460,Interior Part 461,Suspension,v1,2026-01-01,220.64,SUP-021,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1461,Interior Part 462,Chassis,V1,2025-12-01,319.22,SUP-138,Active,Plant-A,2025-12-01,2026-05-30
ENG-1462,Interior Part 463,Chassis,V3,2026-01-01,181.17,SUP-028,Active,Plant-B,2026-01-01,2026-06-30
ENG-1463,Exterior Part 464,Interior,V2,2025-12-01,374.55,SUP-186,Active,Plant-C,2025-12-01,2026-05-30
ENG-1464,Brake Part 465,Brake,V1,2025-12-01,61.13,SUP-136,Active,Plant-C,2025-12-01,2026-05-30
ENG-1465,Engine Part 466,Brake,V1,2026-01-01,76.1,SUP-054,Active,Plant-C,2026-01-01,2026-06-30
ENG-1466,Chassis Part 467,Transmission,V1,2026-01-01,127.61,SUP-130,Active,Plant-A,2026-01-01,2026-06-30
ENG-1467,Transmission Part 468,Suspension,V1,2025-12-01,138.95,SUP-062,Active,Plant-C,2025-12-01,2026-05-30
ENG-1468,Engine Part 469,Engine,V1,2026-03-01,53.84,SUP-005,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1469,Electrical Part 470,Transmission,V2,2025-12-01,454.32,SUP-033,Active,Plant-B,2025-12-01,2026-05-30
ENG-1470,Suspension Part 471,Chassis,V2,2026-03-01,6.52,SUP-073,Active,Plant-C,2026-03-01,2026-08-28
ENG-1471,Brake Part 472,Exterior,V2,2026-01-01,94.02,SUP-020,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1472,Brake Part 473,Suspension,V1,2026-03-01,294.4,SUP-114,Active,Plant-B,2026-03-01,2026-08-28
ENG-1473,Transmission Part 474,Transmission,V2,2026-03-01,214.64,SUP-175,Active,Plant-C,2026-03-01,2026-08-28
ENG-1474,Suspension Part 475,Electrical,V2,2026-01-01,357.33,SUP-116,Active,Plant-C,2026-01-01,2026-06-30
ENG-1475,Interior Part 476,Chassis,V1,2026-03-01,424.43,SUP-101,Active,Plant-C,2026-03-01,2026-08-28
ENG-1476,Brake Part 477,Interior,v1,2026-01-01,288.37,SUP-019,Active,Plant-B,2026-01-01,2026-06-30
ENG-1477,Interior Part 478,Exterior,V3,2025-12-01,92.52,SUP-058,Active,Plant-C,2025-12-01,2026-05-30
ENG-1478,Transmission Part 479,Exterior,V3,2025-12-01,424.42,SUP-157,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1479,Interior Part 480,Electrical,V3,2026-01-01,441.11,SUP-161,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1480,Suspension Part 481,Interior,v1,2026-01-01,20.63,SUP-118,Active,Plant-A,2026-01-01,2026-06-30
ENG-1481,Suspension Part 482,Engine,V3,2026-03-01,172.73,SUP-155,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1482,Chassis Part 483,Brake,V1,2026-01-01,366.16,SUP-044,Active,Plant-A,2026-01-01,2026-06-30
ENG-1483,Electrical Part 484,Chassis,V3,2025-12-01,171.22,SUP-041,Active,Plant-A,2025-12-01,2026-05-30
ENG-1484,Brake Part 485,Engine,V3,2025-12-01,141.66,SUP-057,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1485,Interior Part 486,Exterior,v1,2026-03-01,284.57,SUP-088,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1486,Transmission Part 487,Exterior,V3,2025-12-01,320.92,SUP-036,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1487,Engine Part 488,Transmission,V3,2025-12-01,108.84,SUP-195,Active,Plant-A,2025-12-01,2026-05-30
ENG-1488,Exterior Part 489,Chassis,V1,2026-03-01,149.98,SUP-176,Active,Plant-B,2026-03-01,2026-08-28
ENG-1489,Interior Part 490,Interior,v1,2025-12-01,89.54,SUP-091,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1490,Brake Part 491,Electrical,V3,2026-03-01,49.11,SUP-134,Active,Plant-C,2026-03-01,2026-08-28
ENG-1491,Brake Part 492,Interior,V3,2025-12-01,237.85,SUP-151,Active,Plant-C,2025-12-01,2026-05-30
ENG-1492,Brake Part 493,Chassis,V2,2025-12-01,259.84,SUP-153,Active,Plant-B,2025-12-01,2026-05-30
ENG-1493,Transmission Part 494,Brake,v1,2026-03-01,200.71,SUP-101,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1494,Suspension Part 495,Chassis,V1,2025-12-01,134.02,SUP-071,Active,Plant-A,2025-12-01,2026-05-30
ENG-1495,Transmission Part 496,Chassis,V2,2025-12-01,270.4,SUP-198,Active,Plant-A,2025-12-01,2026-05-30
ENG-1496,Engine Part 497,Transmission,V2,2025-12-01,325.5,SUP-192,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1497,Transmission Part 498,Interior,V1,2025-12-01,410.93,SUP-008,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1498,Brake Part 499,Chassis,V1,2026-03-01,19.47,SUP-116,Active,Plant-C,2026-03-01,2026-08-28
ENG-1499,Brake Part 500,Chassis,v1,2025-12-01,78.9,SUP-107,Obsolete,Plant-B,2025-12-01,2026-05-30
