VIN,Work_Order,Station,Line,Timestamp,Part_Number,Supplier_Code,Torque,Temperature,Pressure,Defect,Inspection_Source,Tool_ID,Operator_ID,Shift,Scrap_Reason,BOM_Status,VIN_Status,Masked_VIN,Supplier_Status,Supplier_Name,Country,Sensor_Number,Calibration_Factor,Calibration_Status,Cycle_Time_Minutes,Cycle_Time_Status,VIN_Count,WO_VIN_Status,Station_Visit_Count,Rework_Status,Shift_Status,Scrap_Reason_Status
MA1AB100000002384,WO102384,ST03,L01,2026-07-03 07:40:00,ENG-1324,NAN,45.0,40.0,3.38,Reject,Human,TL999,EMP272,Nan,Paint Defect,Valid,Valid,MA1AB*********384,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002385,WO102385,ST03,L01,2026-07-03 07:41:15,ENG-1036,NAN,50.0,40.0,3.91,Repair,Human,TL010,EMP178,B,Weld Crack,Valid,Valid,MA1AB*********385,Invalid,,,010,0.976,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002386,WO102386,ST02,L01,2026-07-03 07:42:30,ENG-1001,SUP1041,45.0,40.0,5.32,Reject,Automated,TL087,EMP106,B,Material,Valid,Valid,MA1AB*********386,Valid,Supplier_42,China,087,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002387,WO102387,ST02,L03,2026-07-03 07:43:45,ENG-1410,NAN,,42.0,4.79,Reject,Human,TL087,EMP334,A,Weld Crack,Valid,Valid,MA1AB*********387,Invalid,,,087,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002388,WO102388,ST02,L03,2026-07-03 07:45:00,ENG-1001,NAN,50.0,35.0,4.78,Repair,Human,TL999,EMP348,Nan,Not Available,Valid,Valid,MA1AB*********388,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002389,WO102389,ST02,L03,2026-07-03 07:46:15,ENG-1001,SUP9999,35.0,35.0,5.4,Reject,Automated,TL002,EMP270,B,Not Available,Valid,Valid,MA1AB*********389,Invalid,,,002,0.984,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002390,WO102390,ST05,L01,2026-07-03 07:47:30,ENG-1001,SUP9999,50.0,35.0,5.3,Reject,Automated,TL017,EMP111,Nan,Paint Defect,Valid,Valid,MA1AB*********390,Invalid,,,017,0.996,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002391,WO102391,ST02,L01,2026-07-03 07:48:45,ENG-1412,SUP9999,45.0,35.0,3.23,Reject,Human,TL026,EMP160,C,Paint Defect,Valid,Valid,MA1AB*********391,Invalid,,,026,1.0,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002392,WO102392,ST06,L03,2026-07-03 07:50:00,ENG-1001,SUP1034,,35.0,5.19,,Human,TL999,EMP208,Nan,Weld Crack,Valid,Valid,MA1AB*********392,Valid,Supplier_35,Germany,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002393,WO102393,ST02,L02,2026-07-03 07:51:15,ENG-1193,NAN,,40.0,4.62,Repair,Automated,TL048,EMP155,Nan,Dimension,Valid,Valid,MA1AB*********393,Invalid,,,048,0.992,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002394,WO102394,ST02,L01,2026-07-03 07:52:30,ENG-1404,NAN,45.0,35.0,4.98,OK,Human,TL999,EMP229,Nan,Weld Crack,Valid,Valid,MA1AB*********394,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002395,WO102395,ST01,L02,2026-07-03 07:53:45,ENG-1184,SUP9999,50.0,42.0,5.34,Repair,Human,TL999,EMP312,B,Paint Defect,Valid,Valid,MA1AB*********395,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002396,WO102396,ST02,L03,2026-07-03 07:55:00,ENG-1284,NAN,,42.0,5.31,OK,Human,TL081,EMP189,Nan,Paint Defect,Valid,Valid,MA1AB*********396,Invalid,,,081,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002397,WO102397,ST06,L03,2026-07-03 07:56:15,ENG-1098,NAN,50.0,35.0,5.12,OK,Human,TL999,EMP330,C,Paint Defect,Valid,Valid,MA1AB*********397,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002398,WO102398,ST04,L01,2026-07-03 07:57:30,ENG-1298,SUP1114,50.0,42.0,3.29,Repair,Human,TL999,EMP316,Nan,Dimension,Valid,Valid,MA1AB*********398,Valid,Supplier_115,China,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002399,WO102399,ST01,L01,2026-07-03 07:58:45,ENG-1001,SUP1162,50.0,35.0,4.53,OK,Automated,TL024,EMP275,C,Paint Defect,Valid,Valid,MA1AB*********399,Valid,Supplier_163,Thailand,024,0.993,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002400,WO102400,ST06,L03,2026-07-03 08:00:00,ENG-1172,SUP9999,50.0,42.0,5.92,OK,Automated,TL999,EMP216,Nan,Material,Valid,Valid,MA1AB*********400,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002401,WO102401,ST03,L03,2026-07-03 08:01:15,ENG-1366,SUP1027,45.0,40.0,5.46,OK,Human,TL036,EMP296,C,Dimension,Valid,Valid,MA1AB*********401,Valid,Supplier_28,China,036,0.974,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002402,WO102402,ST02,L01,2026-07-03 08:02:30,ENG-1400,SUP9999,45.0,40.0,4.26,Repair,Human,TL036,EMP341,A,Paint Defect,Valid,Valid,MA1AB*********402,Invalid,,,036,0.974,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002403,WO102403,ST02,L02,2026-07-03 08:03:45,ENG-1247,SUP9999,50.0,42.0,3.63,Repair,Human,TL999,EMP176,Nan,Not Available,Valid,Valid,MA1AB*********403,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002404,WO102404,ST05,L03,2026-07-03 08:05:00,ENG-1001,SUP1120,45.0,35.0,6.04,Reject,Automated,TL060,EMP159,B,Weld Crack,Valid,Valid,MA1AB*********404,Valid,Supplier_121,Thailand,060,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002405,WO102405,ST06,L02,2026-07-03 08:06:15,ENG-1397,SUP9999,50.0,35.0,5.48,OK,Automated,TL032,EMP178,Nan,Dimension,Valid,Valid,MA1AB*********405,Invalid,,,032,1.024,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002406,WO102406,ST03,L03,2026-07-03 08:07:30,ENG-1001,NAN,45.0,35.0,5.05,OK,Automated,TL030,EMP305,Nan,Dimension,Valid,Valid,MA1AB*********406,Invalid,,,030,0.998,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002407,WO102407,ST03,L02,2026-07-03 08:08:45,ENG-1206,SUP9999,45.0,42.0,5.68,OK,Human,TL088,EMP115,A,Material,Valid,Valid,MA1AB*********407,Invalid,,,088,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002408,WO102408,ST02,L02,2026-07-03 08:10:00,ENG-1125,SUP1063,50.0,42.0,5.2,Reject,Human,TL066,EMP142,Nan,Paint Defect,Valid,Valid,MA1AB*********408,Valid,Supplier_64,India,066,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002409,WO102409,ST02,L02,2026-07-03 08:11:15,ENG-1029,SUP9999,35.0,40.0,3.99,OK,Human,TL999,EMP306,Nan,Paint Defect,Valid,Valid,MA1AB*********409,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002410,WO102410,ST01,L03,2026-07-03 08:12:30,ENG-1169,SUP1097,50.0,35.0,5.74,OK,Human,TL027,EMP118,C,Paint Defect,Valid,Valid,MA1AB*********410,Valid,Supplier_98,China,027,1.005,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002411,WO102411,ST02,L03,2026-07-03 08:13:45,ENG-1034,SUP1151,35.0,35.0,4.3,Repair,Human,TL999,EMP266,B,Not Available,Valid,Valid,MA1AB*********411,Valid,Supplier_152,USA,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002412,WO102412,ST01,L02,2026-07-03 08:15:00,ENG-1446,SUP1045,50.0,42.0,3.68,Repair,Automated,TL084,EMP291,C,Weld Crack,Valid,Valid,MA1AB*********412,Valid,Supplier_46,Japan,084,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002413,WO102413,ST05,L03,2026-07-03 08:16:15,ENG-1001,SUP9999,45.0,35.0,5.61,OK,Automated,TL999,EMP169,B,Dimension,Valid,Valid,MA1AB*********413,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002414,WO102414,ST02,L03,2026-07-03 08:17:30,ENG-1001,SUP1080,,42.0,4.75,,Automated,TL068,EMP284,C,Not Available,Valid,Valid,MA1AB*********414,Valid,Supplier_81,Thailand,068,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002415,WO102415,ST02,L02,2026-07-03 08:18:45,ENG-1001,SUP1008,35.0,35.0,3.77,Reject,Automated,TL076,EMP311,C,Material,Valid,Valid,MA1AB*********415,Valid,Supplier_9,China,076,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002416,WO102416,ST01,L03,2026-07-03 08:20:00,ENG-1001,SUP1165,45.0,42.0,3.28,Repair,Automated,TL999,EMP283,A,Material,Valid,Valid,MA1AB*********416,Valid,Supplier_166,China,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002417,WO102417,ST03,L01,2026-07-03 08:21:15,ENG-1001,SUP1075,50.0,35.0,4.01,OK,Automated,TL999,EMP223,C,Paint Defect,Valid,Valid,MA1AB*********417,Valid,Supplier_76,China,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002418,WO102418,ST05,L03,2026-07-03 08:22:30,ENG-1001,SUP1150,45.0,42.0,4.44,OK,Human,TL056,EMP198,B,Dimension,Valid,Valid,MA1AB*********418,Valid,Supplier_151,Korea,056,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002419,WO102419,ST05,L03,2026-07-03 08:23:45,ENG-1222,NAN,,42.0,5.54,,Automated,TL060,EMP301,C,Paint Defect,Valid,Valid,MA1AB*********419,Invalid,,,060,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002420,WO102420,ST02,L01,2026-07-03 08:25:00,ENG-1298,SUP1035,45.0,42.0,3.27,,Automated,TL999,EMP287,B,Material,Valid,Valid,MA1AB*********420,Valid,Supplier_36,Thailand,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002421,WO102421,ST02,L01,2026-07-03 08:26:15,ENG-1001,NAN,35.0,35.0,5.64,OK,Automated,TL060,EMP212,B,Dimension,Valid,Valid,MA1AB*********421,Invalid,,,060,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002422,WO102422,ST03,L02,2026-07-03 08:27:30,ENG-1342,SUP9999,50.0,35.0,3.56,Repair,Human,TL028,EMP195,A,Weld Crack,Valid,Valid,MA1AB*********422,Invalid,,,028,0.984,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002423,WO102423,ST05,L01,2026-07-03 08:28:45,ENG-1001,SUP1068,,42.0,3.65,,Automated,TL999,EMP251,C,Material,Valid,Valid,MA1AB*********423,Valid,Supplier_69,Thailand,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002424,WO102424,ST02,L03,2026-07-03 08:30:00,ENG-1001,NAN,50.0,42.0,5.64,OK,Human,TL999,EMP285,B,Not Available,Valid,Valid,MA1AB*********424,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002425,WO102425,ST03,L03,2026-07-03 08:31:15,ENG-1001,NAN,35.0,40.0,5.32,Reject,Human,TL017,EMP338,C,Not Available,Valid,Valid,MA1AB*********425,Invalid,,,017,0.996,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002426,WO102426,ST03,L01,2026-07-03 08:32:30,ENG-1307,NAN,35.0,40.0,4.32,Repair,Automated,TL035,EMP296,C,Not Available,Valid,Valid,MA1AB*********426,Invalid,,,035,1.003,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002427,WO102427,ST05,L03,2026-07-03 08:33:45,ENG-1001,NAN,50.0,35.0,3.43,Reject,Automated,TL030,EMP344,A,Not Available,Valid,Valid,MA1AB*********427,Invalid,,,030,0.998,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002428,WO102428,ST06,L01,2026-07-03 08:35:00,ENG-1480,SUP1181,35.0,35.0,4.58,OK,Automated,TL999,EMP250,C,Weld Crack,Valid,Valid,MA1AB*********428,Valid,Supplier_182,China,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002429,WO102429,ST03,L02,2026-07-03 08:36:15,ENG-1001,SUP9999,50.0,35.0,3.8,,Automated,TL999,EMP155,B,Dimension,Valid,Valid,MA1AB*********429,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002430,WO102430,ST04,L03,2026-07-03 08:37:30,ENG-1403,SUP9999,35.0,40.0,5.43,Reject,Human,TL999,EMP130,A,Not Available,Valid,Valid,MA1AB*********430,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002431,WO102431,ST03,L02,2026-07-03 08:38:45,ENG-1001,SUP1112,45.0,42.0,3.76,OK,Automated,TL999,EMP344,Nan,Paint Defect,Valid,Valid,MA1AB*********431,Valid,Supplier_113,Germany,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002432,WO102432,ST04,L02,2026-07-03 08:40:00,ENG-1001,SUP9999,35.0,35.0,6.01,Reject,Human,TL001,EMP116,Nan,Weld Crack,Valid,Valid,MA1AB*********432,Invalid,,,001,1.007,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002433,WO102433,ST01,L03,2026-07-03 08:41:15,ENG-1001,SUP9999,35.0,35.0,4.55,,Human,TL999,EMP149,C,Not Available,Valid,Valid,MA1AB*********433,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002434,WO102434,ST05,L03,2026-07-03 08:42:30,ENG-1174,SUP1196,,42.0,4.96,OK,Human,TL068,EMP205,A,Not Available,Valid,Valid,MA1AB*********434,Valid,Supplier_197,India,068,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002435,WO102435,ST01,L02,2026-07-03 08:43:45,ENG-1077,NAN,,35.0,5.73,OK,Automated,TL045,EMP162,C,Material,Valid,Valid,MA1AB*********435,Invalid,,,045,1.021,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002436,WO102436,ST02,L01,2026-07-03 08:45:00,ENG-1067,SUP1053,50.0,40.0,5.94,OK,Automated,TL999,EMP302,A,Weld Crack,Valid,Valid,MA1AB*********436,Valid,Supplier_54,Germany,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002437,WO102437,ST03,L01,2026-07-03 08:46:15,ENG-1007,SUP1111,50.0,35.0,4.55,OK,Human,TL999,EMP131,B,Not Available,Valid,Valid,MA1AB*********437,Valid,Supplier_112,USA,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002438,WO102438,ST01,L02,2026-07-03 08:47:30,ENG-1001,NAN,50.0,40.0,4.14,OK,Automated,TL999,EMP247,A,Paint Defect,Valid,Valid,MA1AB*********438,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002439,WO102439,ST06,L01,2026-07-03 08:48:45,ENG-1001,SUP1045,,40.0,5.0,OK,Automated,TL999,EMP145,Nan,Paint Defect,Valid,Valid,MA1AB*********439,Valid,Supplier_46,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002440,WO102440,ST02,L03,2026-07-03 08:50:00,ENG-1466,NAN,35.0,35.0,4.09,,Automated,TL999,EMP333,A,Paint Defect,Valid,Valid,MA1AB*********440,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002441,WO102441,ST02,L01,2026-07-03 08:51:15,ENG-1001,SUP9999,35.0,42.0,4.95,,Automated,TL999,EMP300,Nan,Dimension,Valid,Valid,MA1AB*********441,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002442,WO102442,ST05,L01,2026-07-03 08:52:30,ENG-1001,NAN,50.0,42.0,4.49,Reject,Human,TL097,EMP113,Nan,Dimension,Valid,Valid,MA1AB*********442,Invalid,,,097,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002443,WO102443,ST03,L03,2026-07-03 08:53:45,ENG-1001,SUP1074,,35.0,5.09,Repair,Automated,TL999,EMP221,A,Not Available,Valid,Valid,MA1AB*********443,Valid,Supplier_75,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002444,WO102444,ST03,L02,2026-07-03 08:55:00,ENG-1294,SUP9999,50.0,42.0,5.16,Reject,Human,TL034,EMP339,Nan,Material,Valid,Valid,MA1AB*********444,Invalid,,,034,0.987,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002445,WO102445,ST01,L02,2026-07-03 08:56:15,ENG-1225,SUP1074,,35.0,4.33,OK,Automated,TL999,EMP301,B,Dimension,Valid,Valid,MA1AB*********445,Valid,Supplier_75,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002446,WO102446,ST03,L01,2026-07-03 08:57:30,ENG-1426,NAN,35.0,40.0,5.96,Reject,Automated,TL016,EMP193,Nan,Dimension,Valid,Valid,MA1AB*********446,Invalid,,,016,0.992,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002447,WO102447,ST03,L01,2026-07-03 08:58:45,ENG-1079,SUP1001,50.0,40.0,5.11,Reject,Automated,TL076,EMP194,B,Weld Crack,Valid,Valid,MA1AB*********447,Valid,Supplier_2,India,076,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002448,WO102448,ST05,L01,2026-07-03 09:00:00,ENG-1001,SUP1097,45.0,35.0,5.74,Reject,Automated,TL069,EMP204,A,Weld Crack,Valid,Valid,MA1AB*********448,Valid,Supplier_98,China,069,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002449,WO102449,ST01,L01,2026-07-03 09:01:15,ENG-1001,SUP1018,,42.0,5.1,,Automated,TL999,EMP257,Nan,Dimension,Valid,Valid,MA1AB*********449,Valid,Supplier_19,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002450,WO102450,ST01,L03,2026-07-03 09:02:30,ENG-1255,SUP1109,45.0,40.0,3.99,Repair,Human,TL036,EMP163,Nan,Not Available,Valid,Valid,MA1AB*********450,Valid,Supplier_110,Japan,036,0.974,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002451,WO102451,ST01,L02,2026-07-03 09:03:45,ENG-1375,NAN,,42.0,5.79,Reject,Human,TL999,EMP121,Nan,Weld Crack,Valid,Valid,MA1AB*********451,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002452,WO102452,ST03,L02,2026-07-03 09:05:00,ENG-1095,SUP9999,,42.0,5.61,OK,Automated,TL999,EMP313,Nan,Dimension,Valid,Valid,MA1AB*********452,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002453,WO102453,ST02,L03,2026-07-03 09:06:15,ENG-1001,NAN,,42.0,3.39,,Automated,TL999,EMP325,B,Not Available,Valid,Valid,MA1AB*********453,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002454,WO102454,ST05,L01,2026-07-03 09:07:30,ENG-1001,SUP9999,35.0,42.0,5.19,,Human,TL082,EMP134,B,Weld Crack,Valid,Valid,MA1AB*********454,Invalid,,,082,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002455,WO102455,ST03,L01,2026-07-03 09:08:45,ENG-1160,SUP9999,45.0,35.0,5.7,,Human,TL999,EMP342,C,Paint Defect,Valid,Valid,MA1AB*********455,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002456,WO102456,ST02,L02,2026-07-03 09:10:00,ENG-1001,SUP9999,50.0,35.0,5.33,Repair,Automated,TL050,EMP175,C,Dimension,Valid,Valid,MA1AB*********456,Invalid,,,050,1.012,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002457,WO102457,ST04,L03,2026-07-03 09:11:15,ENG-1043,NAN,50.0,42.0,4.48,Repair,Automated,TL999,EMP292,Nan,Paint Defect,Valid,Valid,MA1AB*********457,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002458,WO102458,ST03,L03,2026-07-03 09:12:30,ENG-1001,SUP9999,,40.0,3.34,Reject,Human,TL999,EMP317,B,Material,Valid,Valid,MA1AB*********458,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002459,WO102459,ST02,L02,2026-07-03 09:13:45,ENG-1001,SUP1047,,42.0,3.38,Reject,Automated,TL068,EMP251,Nan,Weld Crack,Valid,Valid,MA1AB*********459,Valid,Supplier_48,Thailand,068,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002460,WO102460,ST03,L02,2026-07-03 09:15:00,ENG-1001,SUP1036,45.0,40.0,3.42,OK,Automated,TL089,EMP206,B,Material,Valid,Valid,MA1AB*********460,Valid,Supplier_37,Thailand,089,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002461,WO102461,ST03,L03,2026-07-03 09:16:15,ENG-1001,SUP9999,45.0,35.0,4.3,Repair,Human,TL999,EMP320,Nan,Weld Crack,Valid,Valid,MA1AB*********461,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002462,WO102462,ST01,L01,2026-07-03 09:17:30,ENG-1083,SUP1065,45.0,35.0,3.46,OK,Human,TL073,EMP161,A,Not Available,Valid,Valid,MA1AB*********462,Valid,Supplier_66,India,073,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002463,WO102463,ST02,L01,2026-07-03 09:18:45,ENG-1001,SUP1171,,42.0,3.93,Reject,Automated,TL999,EMP181,C,Weld Crack,Valid,Valid,MA1AB*********463,Valid,Supplier_172,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002464,WO102464,ST05,L02,2026-07-03 09:20:00,ENG-1001,SUP9999,45.0,42.0,3.76,Reject,Automated,TL999,EMP216,B,Paint Defect,Valid,Valid,MA1AB*********464,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002465,WO102465,ST02,L02,2026-07-03 09:21:15,ENG-1490,NAN,,35.0,5.1,Reject,Automated,TL999,EMP333,Nan,Weld Crack,Valid,Valid,MA1AB*********465,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002466,WO102466,ST04,L03,2026-07-03 09:22:30,ENG-1001,NAN,,42.0,3.4,OK,Human,TL999,EMP331,A,Not Available,Valid,Valid,MA1AB*********466,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002467,WO102467,ST02,L03,2026-07-03 09:23:45,ENG-1221,SUP9999,50.0,40.0,4.42,,Human,TL999,EMP135,Nan,Material,Valid,Valid,MA1AB*********467,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002468,WO102468,ST06,L01,2026-07-03 09:25:00,ENG-1001,SUP9999,,35.0,3.46,OK,Human,TL999,EMP308,A,Material,Valid,Valid,MA1AB*********468,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002469,WO102469,ST01,L03,2026-07-03 09:26:15,ENG-1001,NAN,35.0,35.0,3.74,OK,Automated,TL021,EMP334,B,Not Available,Valid,Valid,MA1AB*********469,Invalid,,,021,0.981,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002470,WO102470,ST06,L03,2026-07-03 09:27:30,ENG-1038,SUP9999,50.0,40.0,3.7,Reject,Automated,TL054,EMP138,A,Not Available,Valid,Valid,MA1AB*********470,Invalid,,,054,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002471,WO102471,ST02,L02,2026-07-03 09:28:45,ENG-1001,NAN,35.0,35.0,6.06,Reject,Human,TL067,EMP173,B,Weld Crack,Valid,Valid,MA1AB*********471,Invalid,,,067,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002472,WO102472,ST02,L01,2026-07-03 09:30:00,ENG-1165,NAN,45.0,42.0,3.24,OK,Automated,TL999,EMP341,C,Not Available,Valid,Valid,MA1AB*********472,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002473,WO102473,ST05,L01,2026-07-03 09:31:15,ENG-1031,NAN,50.0,35.0,5.38,Reject,Human,TL999,EMP194,A,Material,Valid,Valid,MA1AB*********473,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002474,WO102474,ST04,L03,2026-07-03 09:32:30,ENG-1443,NAN,45.0,40.0,3.27,Reject,Automated,TL999,EMP337,B,Not Available,Valid,Valid,MA1AB*********474,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000002475,WO102475,ST01,L03,2026-07-03 09:33:45,ENG-1001,SUP1123,35.0,35.0,5.17,OK,Human,TL999,EMP221,B,Dimension,Valid,Valid,MA1AB*********475,Valid,Supplier_124,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000002476,WO102476,ST02,L02,2026-07-03 09:35:00,ENG-1001,SUP9999,45.0,40.0,3.57,Reject,Automated,TL999,EMP182,C,Material,Valid,Valid,MA1AB*********476,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
